Id_Venta;Id_Cliente;Nombre;Apellido;Genero;Correo;Tarjeta;Telefono;Id_Producto;Descripcion;Proveedor;Precio_Unitario;Cantidad;Total;Fecha;Hora;id_Sucursal;Localidad
Fact4018;254;Hagen;Jewkes;M;hjewkes71@freewebs.com;5,11E+15;(650) 1259251;21;Bvlgari;Puig Selectivo;11000;4;44000;20/1/2023;14:41;100;Rosario
Fact4019;34;Milena;Marconi;F;mmarconix@wisc.edu;5,10E+15;(688) 4568990;10;Woman Secret;Tailored;11000;4;44000;20/1/2023;20:03;100;Rosario
Fact4020;543;Kale;Seligson;M;kseligsonf2@opera.com;5,50E+15;(239) 9935880;21;Bvlgari;Puig Selectivo;11000;4;44000;21/1/2023;13:10;100;Rosario
Fact4021;254;Hagen;Jewkes;M;hjewkes71@freewebs.com;5,11E+15;(650) 1259251;21;Bvlgari;Puig Selectivo;11000;4;44000;29/1/2023;14:41;100;Rosario
Fact4022;228;Kelly;Endrighi;M;kendrighi6b@un.org;5,10E+15;(150) 4769055;10;Woman Secret;Tailored;11000;4;44000;29/1/2023;16:26;100;Rosario
Fact4023;1;Rafaello;Whitaker;M;rwhitaker0@weebly.com;4,04E+12;(791) 8840972;5;Diesel;Loreal Parana;12000;4;48000;5/1/2023;13:28;100;Rosario
Fact4024;536;Tonia;Milham;F;tmilhamev@virginia.edu;5,11E+15;(110) 3367029;1;Danielle;Cannon Puntana;12000;4;48000;8/1/2023;13:41;100;Rosario
Fact4025;756;Jonis;Armour;F;jarmourkz@intel.com;5,59E+15;(989) 3693541;1;Danielle;Cannon Puntana;12000;4;48000;8/1/2023;18:58;100;Rosario
Fact4026;388;Jannel;Haily;F;jhailyar@mlb.com;4,02E+15;(659) 5564351;5;Diesel;Loreal Parana;12000;3;36000;15/1/2023;18:14;100;Rosario
Fact4027;1;Rafaello;Whitaker;M;rwhitaker0@weebly.com;4,04E+12;(791) 8840972;5;Diesel;Loreal Parana;12000;3;36000;18/1/2023;13:28;100;Rosario
Fact4028;624;Riccardo;Antczak;M;rantczakhb@delicious.com;5,10E+15;(886) 9530614;5;Diesel;Loreal Parana;12000;3;36000;20/1/2023;14:52;100;Rosario
Fact4029;388;Jannel;Haily;F;jhailyar@mlb.com;4,02E+15;(659) 5564351;5;Diesel;Loreal Parana;12000;3;36000;24/1/2023;18:14;100;Rosario
Fact4030;716;Ethelin;Ellin;F;eellinjv@typepad.com;5,45E+15;(500) 1895662;1;Danielle;Cannon Puntana;12000;3;36000;24/1/2023;14:30;100;Rosario
Fact4031;716;Ethelin;Ellin;F;eellinjv@typepad.com;5,45E+15;(500) 1895662;1;Danielle;Cannon Puntana;12000;3;36000;26/1/2023;14:30;100;Rosario
Fact4032;536;Tonia;Milham;F;tmilhamev@virginia.edu;5,11E+15;(110) 3367029;1;Danielle;Cannon Puntana;12000;3;36000;27/1/2023;13:41;100;Rosario
Fact4033;624;Riccardo;Antczak;M;rantczakhb@delicious.com;5,10E+15;(886) 9530614;5;Diesel;Loreal Parana;12000;3;36000;28/1/2023;14:52;100;Rosario
Fact4034;756;Jonis;Armour;F;jarmourkz@intel.com;5,59E+15;(989) 3693541;1;Danielle;Cannon Puntana;12000;3;36000;28/1/2023;18:58;100;Rosario
Fact4035;941;Christophe;Prime;M;cprimeq4@dropbox.com;3,71E+14;(796) 2293669;15;Agatha Ruiz;Puig Semiselectivo;12490;3;37470;3/1/2023;19:09;100;Rosario
Fact4036;462;Cristine;Bamb;F;cbambct@ca.gov;3,77E+14;(806) 2755288;15;Agatha Ruiz;Puig Semiselectivo;12490;3;37470;4/1/2023;10:10;100;Rosario
Fact4037;963;Korry;Golston;F;kgolstonqq@paypal.com;5,13E+15;(893) 1892326;15;Agatha Ruiz;Puig Semiselectivo;12490;3;37470;5/1/2023;16:04;100;Rosario
Fact4038;462;Cristine;Bamb;F;cbambct@ca.gov;3,77E+14;(806) 2755288;15;Agatha Ruiz;Puig Semiselectivo;12490;3;37470;8/1/2023;10:10;100;Rosario
Fact4039;941;Christophe;Prime;M;cprimeq4@dropbox.com;3,71E+14;(796) 2293669;15;Agatha Ruiz;Puig Semiselectivo;12490;3;37470;9/1/2023;19:09;100;Rosario
Fact4040;619;Mable;Lawley;F;mlawleyh6@yahoo.com;5,10E+15;(521) 1172551;15;Agatha Ruiz;Puig Semiselectivo;12490;1;12490;14/1/2023;14:41;100;Rosario
Fact4041;963;Korry;Golston;F;kgolstonqq@paypal.com;5,13E+15;(893) 1892326;15;Agatha Ruiz;Puig Semiselectivo;12490;1;12490;16/1/2023;16:04;100;Rosario
Fact4042;619;Mable;Lawley;F;mlawleyh6@yahoo.com;5,10E+15;(521) 1172551;15;Agatha Ruiz;Puig Semiselectivo;12490;1;12490;26/1/2023;14:41;100;Rosario
Fact4043;657;Holly;Griffitt;M;hgriffitti8@hostgator.com;4,02E+15;(721) 9697219;29;Viktor & Rolf;Loreal Parana;12750;1;12750;18/1/2023;20:26;100;Rosario
Fact4044;497;Lanie;Tryhorn;F;ltryhornds@phpbb.com;5,01E+15;(400) 7375318;29;Viktor & Rolf;Loreal Parana;12750;1;12750;20/1/2023;17:27;100;Rosario
Fact4045;109;Vivianne;Baily;F;vbaily30@geocities.com;5,01E+15;(698) 9442846;29;Viktor & Rolf;Loreal Parana;12750;1;12750;21/1/2023;20:45;100;Rosario
Fact4046;109;Vivianne;Baily;F;vbaily30@geocities.com;5,01E+15;(698) 9442846;29;Viktor & Rolf;Loreal Parana;12750;1;12750;27/1/2023;20:45;100;Rosario
Fact4047;657;Holly;Griffitt;M;hgriffitti8@hostgator.com;4,02E+15;(721) 9697219;29;Viktor & Rolf;Loreal Parana;12750;1;12750;29/1/2023;20:26;100;Rosario
Fact4048;497;Lanie;Tryhorn;F;ltryhornds@phpbb.com;5,01E+15;(400) 7375318;29;Viktor & Rolf;Loreal Parana;12750;1;12750;30/1/2023;17:27;100;Rosario
Fact4049;57;Scot;O'Neill;M;soneill1k@pagesperso-orange.fr;5,37E+15;(640) 7724404;6;Mugle;Loreal Parana;13000;1;13000;6/1/2023;18:26;100;Rosario
Fact4050;57;Scot;O'Neill;M;soneill1k@pagesperso-orange.fr;5,37E+15;(640) 7724404;6;Mugle;Loreal Parana;13000;1;13000;7/1/2023;18:26;100;Rosario
Fact4051;726;Carolin;Wilds;F;cwildsk5@infoseek.co.jp;5,01E+15;(453) 1212950;6;Mugle;Loreal Parana;13000;1;13000;7/1/2023;17:57;100;Rosario
Fact4052;216;Livvie;Conybear;F;lconybear5z@hugedomains.com;4,02E+15;(739) 4468215;6;Mugle;Loreal Parana;13000;2;26000;8/1/2023;15:34;100;Rosario
Fact4053;799;Sigismond;Scard;M;sscardm6@indiegogo.com;5,01E+15;(380) 5589407;6;Mugle;Loreal Parana;13000;2;26000;9/1/2023;17:56;100;Rosario
Fact4054;919;Cliff;Donoher;M;cdonoherpi@exblog.jp;5,44E+15;(761) 3781355;6;Mugle;Loreal Parana;13000;2;26000;10/1/2023;11:41;100;Rosario
Fact4055;799;Sigismond;Scard;M;sscardm6@indiegogo.com;5,01E+15;(380) 5589407;6;Mugle;Loreal Parana;13000;2;26000;12/1/2023;17:56;100;Rosario
Fact4056;758;Jasun;Whalley;M;jwhalleyl1@usnews.com;4,97E+15;(120) 9072657;6;Mugle;Loreal Parana;13000;2;26000;14/1/2023;10:25;100;Rosario
Fact4057;385;Ardyce;Squibbs;F;asquibbsao@cnet.com;4,04E+15;(562) 8012346;6;Mugle;Loreal Parana;13000;2;26000;17/1/2023;08:33;100;Rosario
Fact4058;919;Cliff;Donoher;M;cdonoherpi@exblog.jp;5,44E+15;(761) 3781355;6;Mugle;Loreal Parana;13000;2;26000;20/1/2023;11:41;100;Rosario
Fact4059;385;Ardyce;Squibbs;F;asquibbsao@cnet.com;4,04E+15;(562) 8012346;6;Mugle;Loreal Parana;13000;2;26000;25/1/2023;08:33;100;Rosario
Fact4060;758;Jasun;Whalley;M;jwhalleyl1@usnews.com;4,97E+15;(120) 9072657;6;Mugle;Loreal Parana;13000;2;26000;30/1/2023;10:25;100;Rosario
Fact4061;216;Livvie;Conybear;F;lconybear5z@hugedomains.com;4,02E+15;(739) 4468215;6;Mugle;Loreal Parana;13000;2;26000;31/1/2023;15:34;100;Rosario
Fact4062;726;Carolin;Wilds;F;cwildsk5@infoseek.co.jp;5,01E+15;(453) 1212950;6;Mugle;Loreal Parana;13000;2;26000;31/1/2023;17:57;100;Rosario
Fact4063;871;April;Dewar;F;adewaro6@howstuffworks.com;4,02E+12;(852) 9519261;8;Karastase;Loreal Perfum;14500;2;29000;1/1/2023;10:34;100;Rosario
Fact4064;871;April;Dewar;F;adewaro6@howstuffworks.com;4,02E+12;(852) 9519261;8;Karastase;Loreal Perfum;14500;6;87000;2/1/2023;10:34;100;Rosario
Fact4065;102;Peggy;Senter;F;psenter2t@people.com.cn;4,04E+15;(250) 5447516;8;Karastase;Loreal Perfum;14500;6;87000;14/1/2023;11:54;100;Rosario
Fact4066;358;Darleen;Moutray Read;F;dmoutrayread9x@paginegialle.it;4,04E+15;(746) 8062203;8;Karastase;Loreal Perfum;14500;6;87000;17/1/2023;14:30;100;Rosario
Fact4067;102;Peggy;Senter;F;psenter2t@people.com.cn;4,04E+15;(250) 5447516;8;Karastase;Loreal Perfum;14500;6;87000;17/1/2023;11:54;100;Rosario
Fact4068;358;Darleen;Moutray Read;F;dmoutrayread9x@paginegialle.it;4,04E+15;(746) 8062203;8;Karastase;Loreal Perfum;14500;6;87000;27/1/2023;14:30;100;Rosario
Fact4069;737;Ana;Jaan;F;ajaankg@cdbaby.com;3,74E+14;(535) 7948273;44;Paloma Herrera;Cannon Premium;15000;3;45000;9/1/2023;17:49;100;Rosario
Fact4070;737;Ana;Jaan;F;ajaankg@cdbaby.com;3,74E+14;(535) 7948273;44;Paloma Herrera;Cannon Premium;15000;7;105000;16/1/2023;17:49;100;Rosario
Fact4071;245;Marcello;Plumridege;M;mplumridege6s@mapquest.com;4,04E+12;(631) 4042137;44;Paloma Herrera;Cannon Premium;15000;3;45000;24/1/2023;16:45;100;Rosario
Fact4072;245;Marcello;Plumridege;M;mplumridege6s@mapquest.com;4,04E+12;(631) 4042137;44;Paloma Herrera;Cannon Premium;15000;3;45000;26/1/2023;16:45;100;Rosario
Fact4073;268;Jana;Newstead;F;jnewstead7f@samsung.com;3,46E+14;(182) 6821045;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;3/1/2023;11:39;100;Rosario
Fact4074;220;Tyrone;Tomaszynski;M;ttomaszynski63@statcounter.com;4,26E+12;(408) 3496319;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;7/1/2023;20:20;100;Rosario
Fact4075;974;Gaile;Sarginson;M;gsarginsonr1@cloudflare.com;3,45E+14;(351) 5889935;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;7/1/2023;08:04;100;Rosario
Fact4076;444;Adi;Capon;F;acaponcb@bloglines.com;5,10E+15;(719) 9475503;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;8/1/2023;11:58;100;Rosario
Fact4077;466;Sisely;Abyss;F;sabysscx@bloglines.com;3,72E+14;(452) 2328138;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;8/1/2023;09:07;100;Rosario
Fact4078;268;Jana;Newstead;F;jnewstead7f@samsung.com;3,46E+14;(182) 6821045;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;10/1/2023;11:39;100;Rosario
Fact4079;272;Lester;Kuhndel;M;lkuhndel7j@yelp.com;4,36E+15;(282) 6178830;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;12/1/2023;16:12;100;Rosario
Fact4080;272;Lester;Kuhndel;M;lkuhndel7j@yelp.com;4,36E+15;(282) 6178830;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;14/1/2023;16:12;100;Rosario
Fact4081;466;Sisely;Abyss;F;sabysscx@bloglines.com;3,72E+14;(452) 2328138;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;19/1/2023;09:07;100;Rosario
Fact4082;444;Adi;Capon;F;acaponcb@bloglines.com;5,10E+15;(719) 9475503;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;22/1/2023;11:58;100;Rosario
Fact4083;974;Gaile;Sarginson;M;gsarginsonr1@cloudflare.com;3,45E+14;(351) 5889935;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;23/1/2023;08:04;100;Rosario
Fact4084;220;Tyrone;Tomaszynski;M;ttomaszynski63@statcounter.com;4,26E+12;(408) 3496319;14;Antonio Banderas;Puig Semiselectivo;15600;3;46800;28/1/2023;20:20;100;Rosario
Fact4085;75;Hadrian;Aust;M;haust22@seesaa.net;3,72E+14;(589) 1139985;33;Colbert;Cannon Puntana;16999;3;50997;5/1/2023;09:55;100;Rosario
Fact4086;174;Carver;Wace;M;cwace4t@sohu.com;5,10E+15;(167) 7929834;33;Colbert;Cannon Puntana;16999;3;50997;8/1/2023;13:32;100;Rosario
Fact4087;174;Carver;Wace;M;cwace4t@sohu.com;5,10E+15;(167) 7929834;33;Colbert;Cannon Puntana;16999;3;50997;9/1/2023;13:32;100;Rosario
Fact4088;604;Samaria;Collough;F;scolloughgr@artisteer.com;4,02E+15;(360) 9810948;33;Colbert;Cannon Puntana;16999;1;16999;15/1/2023;15:14;100;Rosario
Fact4089;75;Hadrian;Aust;M;haust22@seesaa.net;3,72E+14;(589) 1139985;33;Colbert;Cannon Puntana;16999;4;67996;20/1/2023;09:55;100;Rosario
Fact4090;604;Samaria;Collough;F;scolloughgr@artisteer.com;4,02E+15;(360) 9810948;33;Colbert;Cannon Puntana;16999;4;67996;25/1/2023;15:14;100;Rosario
Fact4091;303;Haskel;Perview;M;hperview8e@free.fr;5,05E+15;(320) 7703680;16;Shakira;Puig Semiselectivo;17500;4;70000;3/1/2023;14:36;100;Rosario
Fact4092;303;Haskel;Perview;M;hperview8e@free.fr;5,05E+15;(320) 7703680;16;Shakira;Puig Semiselectivo;17500;4;70000;20/1/2023;14:36;100;Rosario
Fact4093;909;Ruperto;Simionescu;M;rsimionescup8@plala.or.jp;3,74E+14;(249) 6565021;28;Biolage;Loreal Perfum;17530;4;70120;10/1/2023;14:02;100;Rosario
Fact4094;607;Berti;Duran;F;bdurangu@rediff.com;4,04E+15;(541) 1765574;28;Biolage;Loreal Perfum;17530;4;70120;21/1/2023;13:33;100;Rosario
Fact4095;226;Marja;Dossett;F;mdossett69@histats.com;5,00E+15;(358) 7277621;28;Biolage;Loreal Perfum;17530;4;70120;23/1/2023;08:58;100;Rosario
Fact4096;909;Ruperto;Simionescu;M;rsimionescup8@plala.or.jp;3,74E+14;(249) 6565021;28;Biolage;Loreal Perfum;17530;4;70120;24/1/2023;14:02;100;Rosario
Fact4097;226;Marja;Dossett;F;mdossett69@histats.com;5,00E+15;(358) 7277621;28;Biolage;Loreal Perfum;17530;4;70120;27/1/2023;08:58;100;Rosario
Fact4098;607;Berti;Duran;F;bdurangu@rediff.com;4,04E+15;(541) 1765574;28;Biolage;Loreal Perfum;17530;4;70120;29/1/2023;13:33;100;Rosario
Fact4099;367;Alanna;Roscamps;F;aroscampsa6@nationalgeographic.com;4,02E+15;(905) 9950198;7;Azzaro;Loreal Parana;18500;4;74000;1/1/2023;17:01;100;Rosario
Fact4100;48;Jermaine;Limeburn;M;jlimeburn1b@example.com;4,00E+12;(177) 4819233;7;Azzaro;Loreal Parana;18500;4;74000;2/1/2023;15:35;100;Rosario
Fact4101;115;Hi;Priddis;M;hpriddis36@foxnews.com;3,75E+14;(193) 1781050;7;Azzaro;Loreal Parana;18500;4;74000;6/1/2023;15:38;100;Rosario
Fact4102;402;Eliot;Morgen;M;emorgenb5@pagesperso-orange.fr;5,11E+15;(259) 3426370;7;Azzaro;Loreal Parana;18500;4;74000;7/1/2023;09:45;100;Rosario
Fact4103;432;Thorstein;Leggatt;M;tleggattbz@cdbaby.com;4,04E+12;(666) 1929875;7;Azzaro;Loreal Parana;18500;4;74000;10/1/2023;18:14;100;Rosario
Fact4104;115;Hi;Priddis;M;hpriddis36@foxnews.com;3,75E+14;(193) 1781050;7;Azzaro;Loreal Parana;18500;4;74000;11/1/2023;15:38;100;Rosario
Fact4105;470;Vivienne;Cordeix;F;vcordeixd1@hibu.com;4,04E+15;(143) 8878978;7;Azzaro;Loreal Parana;18500;4;74000;13/1/2023;14:20;100;Rosario
Fact4106;387;Katlin;Whightman;F;kwhightmanaq@tuttocitta.it;3,74E+14;(154) 8479572;7;Azzaro;Loreal Parana;18500;4;74000;14/1/2023;15:30;100;Rosario
Fact4107;48;Jermaine;Limeburn;M;jlimeburn1b@example.com;4,00E+12;(177) 4819233;7;Azzaro;Loreal Parana;18500;4;74000;14/1/2023;15:35;100;Rosario
Fact4108;764;Lucho;Pickworth;M;lpickworthl7@sbwire.com;3,75E+14;(381) 4439314;7;Azzaro;Loreal Parana;18500;4;74000;14/1/2023;16:00;100;Rosario
Fact4109;984;Cad;Makepeace;M;cmakepeacerb@mozilla.com;5,29E+15;(847) 4155117;7;Azzaro;Loreal Parana;18500;4;74000;15/1/2023;14:56;100;Rosario
Fact4110;679;Mickie;Filipchikov;M;mfilipchikoviu@godaddy.com;3,74E+14;(870) 7457530;7;Azzaro;Loreal Parana;18500;4;74000;15/1/2023;18:55;100;Rosario
Fact4111;679;Mickie;Filipchikov;M;mfilipchikoviu@godaddy.com;3,74E+14;(870) 7457530;7;Azzaro;Loreal Parana;18500;4;74000;16/1/2023;18:55;100;Rosario
Fact4112;367;Alanna;Roscamps;F;aroscampsa6@nationalgeographic.com;4,02E+15;(905) 9950198;7;Azzaro;Loreal Parana;18500;4;74000;18/1/2023;17:01;100;Rosario
Fact4113;387;Katlin;Whightman;F;kwhightmanaq@tuttocitta.it;3,74E+14;(154) 8479572;7;Azzaro;Loreal Parana;18500;4;74000;18/1/2023;15:30;100;Rosario
Fact4114;984;Cad;Makepeace;M;cmakepeacerb@mozilla.com;5,29E+15;(847) 4155117;7;Azzaro;Loreal Parana;18500;4;74000;18/1/2023;14:56;100;Rosario
Fact4115;432;Thorstein;Leggatt;M;tleggattbz@cdbaby.com;4,04E+12;(666) 1929875;7;Azzaro;Loreal Parana;18500;4;74000;21/1/2023;18:14;100;Rosario
Fact4116;470;Vivienne;Cordeix;F;vcordeixd1@hibu.com;4,04E+15;(143) 8878978;7;Azzaro;Loreal Parana;18500;4;74000;22/1/2023;14:20;100;Rosario
Fact4117;402;Eliot;Morgen;M;emorgenb5@pagesperso-orange.fr;5,11E+15;(259) 3426370;7;Azzaro;Loreal Parana;18500;4;74000;25/1/2023;09:45;100;Rosario
Fact4118;764;Lucho;Pickworth;M;lpickworthl7@sbwire.com;3,75E+14;(381) 4439314;7;Azzaro;Loreal Parana;18500;4;74000;28/1/2023;16:00;100;Rosario
Fact4119;382;Putnem;Blaver;M;pblaveral@networksolutions.com;5,32E+15;(981) 4228140;43;Ciel;Cannon Puntana;18999;4;75996;2/1/2023;20:13;100;Rosario
Fact4120;390;Tadio;Massey;M;tmasseyat@bluehost.com;4,04E+12;(811) 9226513;43;Ciel;Cannon Puntana;18999;4;75996;3/1/2023;08:21;100;Rosario
Fact4121;60;Gonzalo;Faussett;M;gfaussett1n@google.com.br;5,00E+15;(332) 8376373;43;Ciel;Cannon Puntana;18999;4;75996;6/1/2023;11:08;100;Rosario
Fact4122;637;Miner;Pidon;M;mpidonho@clickbank.net;5,34E+15;(316) 5407629;43;Ciel;Cannon Puntana;18999;4;75996;13/1/2023;15:51;100;Rosario
Fact4123;382;Putnem;Blaver;M;pblaveral@networksolutions.com;5,32E+15;(981) 4228140;43;Ciel;Cannon Puntana;18999;4;75996;17/1/2023;20:13;100;Rosario
Fact4124;785;Juana;Bruinemann;F;jbruinemannls@cbsnews.com;5,14E+15;(604) 7444583;43;Ciel;Cannon Puntana;18999;4;75996;19/1/2023;20:17;100;Rosario
Fact4125;785;Juana;Bruinemann;F;jbruinemannls@cbsnews.com;5,14E+15;(604) 7444583;43;Ciel;Cannon Puntana;18999;4;75996;26/1/2023;20:17;100;Rosario
Fact4126;60;Gonzalo;Faussett;M;gfaussett1n@google.com.br;5,00E+15;(332) 8376373;43;Ciel;Cannon Puntana;18999;4;75996;26/1/2023;11:08;100;Rosario
Fact4127;390;Tadio;Massey;M;tmasseyat@bluehost.com;4,04E+12;(811) 9226513;43;Ciel;Cannon Puntana;18999;4;75996;28/1/2023;08:21;100;Rosario
Fact4128;637;Miner;Pidon;M;mpidonho@clickbank.net;5,34E+15;(316) 5407629;43;Ciel;Cannon Puntana;18999;4;75996;30/1/2023;15:51;100;Rosario
Fact4129;925;Fanya;Dempster;F;fdempsterpo@timesonline.co.uk;3,50E+14;(263) 6816188;35;Lacoste;Coty Selectivo;19650;2;39300;1/1/2023;20:54;100;Rosario
Fact4130;473;Corliss;Sapauton;F;csapautond4@bloomberg.com;3,75E+14;(530) 4074517;35;Lacoste;Coty Selectivo;19650;1;19650;8/1/2023;08:57;100;Rosario
Fact4131;925;Fanya;Dempster;F;fdempsterpo@timesonline.co.uk;3,50E+14;(263) 6816188;35;Lacoste;Coty Selectivo;19650;1;19650;14/1/2023;20:54;100;Rosario
Fact4132;95;Malachi;Welbelove;M;mwelbelove2m@ed.gov;3,71E+14;(899) 3775336;35;Lacoste;Coty Selectivo;19650;1;19650;18/1/2023;19:45;100;Rosario
Fact4133;95;Malachi;Welbelove;M;mwelbelove2m@ed.gov;3,71E+14;(899) 3775336;35;Lacoste;Coty Selectivo;19650;1;19650;18/1/2023;19:45;100;Rosario
Fact4134;473;Corliss;Sapauton;F;csapautond4@bloomberg.com;3,75E+14;(530) 4074517;35;Lacoste;Coty Selectivo;19650;1;19650;19/1/2023;08:57;100;Rosario
Fact4135;638;Cairistiona;Cranmere;F;ccranmerehp@state.gov;5,10E+15;(666) 4192416;35;Lacoste;Coty Selectivo;19650;1;19650;21/1/2023;11:16;100;Rosario
Fact4136;638;Cairistiona;Cranmere;F;ccranmerehp@state.gov;5,10E+15;(666) 4192416;35;Lacoste;Coty Selectivo;19650;1;19650;29/1/2023;11:16;100;Rosario
Fact4137;838;Miner;Gerran;M;mgerrann9@acquirethisname.com;5,00E+15;(295) 4511008;25;Ralph Lauren;Loreal Argentina;19850;1;19850;1/1/2023;15:58;100;Rosario
Fact4138;675;Padget;Luck;M;pluckiq@wiley.com;3,38E+14;(235) 1243521;25;Ralph Lauren;Loreal Argentina;19850;1;19850;2/1/2023;14:50;100;Rosario
Fact4139;96;Tiebout;Durgan;M;tdurgan2n@ask.com;4,27E+12;(743) 2972693;25;Ralph Lauren;Loreal Argentina;19850;1;19850;5/1/2023;18:32;100;Rosario
Fact4140;96;Tiebout;Durgan;M;tdurgan2n@ask.com;4,27E+12;(743) 2972693;25;Ralph Lauren;Loreal Argentina;19850;1;19850;5/1/2023;18:32;100;Rosario
Fact4141;597;Jinny;Derricoat;F;jderricoatgk@addtoany.com;3,38E+14;(725) 1122481;25;Ralph Lauren;Loreal Argentina;19850;1;19850;6/1/2023;18:03;100;Rosario
Fact4142;77;Cecil;Ferrarotti;M;cferrarotti24@cyberchimps.com;5,11E+15;(823) 2846735;25;Ralph Lauren;Loreal Argentina;19850;1;19850;10/1/2023;14:53;100;Rosario
Fact4143;194;Madalyn;Le Breton De La Vieuville;F;mlebretondelavieuville5d@issuu.com;3,38E+14;(673) 5935015;25;Ralph Lauren;Loreal Argentina;19850;1;19850;12/1/2023;15:27;100;Rosario
Fact4144;77;Cecil;Ferrarotti;M;cferrarotti24@cyberchimps.com;5,11E+15;(823) 2846735;25;Ralph Lauren;Loreal Argentina;19850;1;19850;13/1/2023;14:53;100;Rosario
Fact4145;703;Chip;Di Filippo;M;cdifilippoji@virginia.edu;3,74E+14;(317) 7208344;25;Ralph Lauren;Loreal Argentina;19850;1;19850;17/1/2023;17:09;100;Rosario
Fact4146;194;Madalyn;Le Breton De La Vieuville;F;mlebretondelavieuville5d@issuu.com;3,38E+14;(673) 5935015;25;Ralph Lauren;Loreal Argentina;19850;1;19850;25/1/2023;15:27;100;Rosario
Fact4147;703;Chip;Di Filippo;M;cdifilippoji@virginia.edu;3,74E+14;(317) 7208344;25;Ralph Lauren;Loreal Argentina;19850;1;19850;26/1/2023;17:09;100;Rosario
Fact4148;838;Miner;Gerran;M;mgerrann9@acquirethisname.com;5,00E+15;(295) 4511008;25;Ralph Lauren;Loreal Argentina;19850;1;19850;26/1/2023;15:58;100;Rosario
